ClientID,Sales_M1,Sales_M2,Sales_M3,Sales_M4,Sales_M5,Sales_M6,Sales_M7,Sales_M8,Sales_M9,Sales_M10,Sales_M11,Sales_M12,Purchases_M1,Purchases_M2,Purchases_M3,Purchases_M4,Purchases_M5,Purchases_M6,Purchases_M7,Purchases_M8,Purchases_M9,Purchases_M10,Purchases_M11,Purchases_M12,Decl_Sales_M1,Decl_Sales_M2,Decl_Sales_M3,Decl_Sales_M4,Decl_Sales_M5,Decl_Sales_M6,Decl_Sales_M7,Decl_Sales_M8,Decl_Sales_M9,Decl_Sales_M10,Decl_Sales_M11,Decl_Sales_M12,Decl_Purchases_M1,Decl_Purchases_M2,Decl_Purchases_M3,Decl_Purchases_M4,Decl_Purchases_M5,Decl_Purchases_M6,Decl_Purchases_M7,Decl_Purchases_M8,Decl_Purchases_M9,Decl_Purchases_M10,Decl_Purchases_M11,Decl_Purchases_M12,CreditGrade
C001,4640.157069146298,4725.549255536773,4566.7370679566975,4434.143983846437,4262.78844688745,5108.459478286281,4588.229454711711,4988.095762359485,4626.202690358616,5262.487173993139,4565.6668157545055,4877.843896407528,3396.2029781697574,4601.489137351074,4936.523151438795,3626.8483563184855,4384.645231338628,4752.778304592077,4789.213327007695,3170.088422739556,3078.1095664657646,3339.660839129138,4756.285006858827,3196.6936676661003,4532.71100730199,4717.589451558869,4481.460612047788,4379.49353418796,4146.075964478554,5044.399585989523,4557.878440181566,4792.220879013962,4579.967368662496,5260.142438922666,4519.675147159896,4737.448621150247,3288.8554523285097,3982.514768942285,4527.700192925013,3577.1218189134465,3920.0575279658647,4245.021416777741,4164.241513528636,2703.7844046678692,2929.8226536957745,2944.726632979379,4232.294595019038,2952.9009383360967,A
C002,4883.086111875074,4766.065400645895,4396.045994843163,4485.426232641835,4610.252987732506,4721.634569983935,4506.345295029883,5089.667824327782,5052.142753616837,4525.210105055018,4601.417089105476,4893.567863490337,4027.156242531493,3368.8797312938304,4570.6702956333465,4707.950585278977,3988.4736747638553,4693.122970714936,3159.290954018122,4010.492180243408,3130.573008773756,3856.2446551947787,3193.0618313212253,3254.319943402555,4804.32101662407,4618.510303668484,4239.009680936502,4345.535872952485,4490.354375248158,4621.118049528962,4362.4564687680195,5016.4594115070495,4947.67855423911,4435.653793287729,4488.570583801507,4853.173898643427,3773.4479236010857,2945.5624404365317,4365.5059415732485,4682.916820792782,3689.343151402661,4615.348581860316,2847.2858493133426,3750.097416545181,2861.7566353634393,3530.438601723268,3086.042780629465,3027.6260534296316,A
C003,4838.998437483883,5363.003309176774,5351.715280719088,5108.487816663055,4984.248357500917,5086.821369278807,5631.542980288209,4948.213144843635,5341.1760263401675,4800.497423069521,5012.9988968092575,5118.5072721881415,4117.708175981764,3518.5048938149307,3830.2023940201393,3567.0501635426376,4386.275836625993,3880.907435341479,3313.7354769499266,4089.2980360636893,4560.629529022734,3612.7270647523596,3443.915767864363,3775.9425151112973,4826.684860726931,5357.853844028252,5281.582909205871,5088.632985753983,4953.495718844801,4960.260041183328,5427.0542230356705,4879.613275723934,5246.710013549941,4677.905154680925,4857.6068603162485,4996.997987231061,3789.695814001823,3132.8251646925087,3423.315842276523,3276.8811908446824,4294.515327475542,3640.050308431213,2957.585723461385,3646.413261440002,4187.539528994972,3182.1317317396874,3031.358100425725,3500.6961633379715,A
C004,6067.683280875725,5947.411808624526,6228.825102910276,6254.297902150925,6364.761326977124,5833.533152144622,6042.721748490285,5843.561667309455,5790.181481277322,5898.257814682848,5910.6716200003875,6101.321467505839,4897.954613563125,4572.611971870122,4732.578597163397,3346.330842991896,3149.897174026214,4201.485442755538,3335.9443674368076,4466.760335021139,3816.8877203040292,4055.8176468358406,4875.143167901884,4043.3922448899157,5851.235276858546,5747.156126691212,6115.510977317954,6135.3171595789545,6272.500354837941,5693.877305283592,5958.076537132725,5702.5915863255395,5703.077723087727,5843.381595862164,5716.558995632397,5948.928948787932,4532.469038988409,4357.699492636791,4202.775638957506,3122.833185473005,2972.68278287418,4135.627893315534,3017.121620001945,4223.918481528809,3353.963975460064,3750.289322993848,4277.2888128581635,3993.8908369008504,A
C005,4378.668674564179,4526.553512828394,4438.80826563224,4631.028764947089,4747.862911737565,4571.685997907924,4024.9712229530237,4481.965842347328,4354.4192835587455,4807.866274274051,4309.489573664042,4089.708401458547,3592.159865467296,4257.575817758967,4159.67562037909,4199.858393249975,3531.6382350710146,3569.3717612827277,3507.176411547575,3655.127895377468,3288.328601306841,3331.225722402535,4927.8610581358835,4920.453430571388,4236.522141593081,4349.892370392407,4297.57524900904,4575.427450668591,4705.989530864766,4393.012273895306,3956.9754292565453,4302.9816151342575,4270.025867473485,4738.5936092936,4307.01151421482,3968.505410073814,3485.740451157771,4174.8616062429755,4111.47513824883,3571.2745411258024,3250.6019625034064,3559.4500165792238,3190.9754206790712,3553.0031528012328,3064.6185908587454,3216.725208537251,4547.13284346284,4203.871729987088,A
C006,6076.428812137186,5633.664038911943,6005.676043536336,6486.897256385034,5266.265770632342,5529.475706551748,5489.2286850002065,6372.962820562247,5823.879769939258,6284.773854616804,6320.650047332287,6075.932425175399,4980.448542746833,4639.716393843682,3826.4018696323615,4752.535310413255,4647.518865141043,3108.949015644709,4437.274473128388,4604.341124848951,4472.813287622877,4418.263501562335,4081.873708605056,3249.6483487612195,6066.134684373984,5499.189897701371,5817.566537241787,6413.537154946804,5265.0455638818285,5364.833146717598,5417.05837721269,6270.742004289058,5758.030825974803,6269.024094351073,6156.770702645892,5894.537673646645,4534.055304503986,4463.298636672607,3668.0293351209843,4329.161259941507,4640.115261820641,2852.693557611203,4020.4868955301686,4403.795782334723,3857.214551419061,4019.5414554071967,3941.5884646397267,3134.976862058908,A
C007,4086.049459163786,4455.151977360623,4171.960725217972,4817.225153159928,4120.0208932289925,4092.3763592095784,4573.229199542258,4152.340834526679,4053.5908546248106,4405.247724920459,4118.74533083627,4083.2185508789617,4819.187055439227,3426.770707159831,3904.247923635366,4862.412039378043,3049.798455100696,4201.097834928245,4900.259000827291,3460.6057580419297,4096.979838472061,4818.256749773463,3266.3388915185005,4046.825161347532,4045.2559527546364,4396.168124786374,4083.140158607831,4664.00831464891,4036.0986861694055,3989.6388368160356,4477.630627611067,4047.0192647391104,4027.3102891861217,4364.481123098075,4005.726082029903,4013.4159840820043,4295.858797180584,3145.52343551501,3525.3279929390524,4612.532292846479,2761.7531109468587,3860.237337006576,4693.951326578766,3155.895179613981,4039.472541534486,4225.937572142074,3139.4998674659682,3696.192473242676,A
C008,5297.437007506118,5798.743168317983,5737.614121765225,5681.895670241674,5911.6393577000335,5037.230138589296,6528.152822537981,5441.883443336109,6199.261278549115,5822.091747280742,5985.991619064934,6171.19737472308,3852.183540952384,3578.1500560361756,4947.710482400893,3667.548091021341,3437.6021216396557,3131.6167755744227,4965.741093106868,3255.7114258500637,3644.2615864083587,3141.8856895003973,3449.5398779360908,3787.26982988721,5275.43039572373,5646.923168084813,5734.114048005349,5461.149943616076,5758.3351165295035,4912.50003697617,6466.5688743743685,5428.562564498066,6030.564450462562,5689.924659757377,5811.23556010604,6122.088439042314,3643.1479634312145,3078.2950883631147,4653.552625546986,3555.0870703228406,2938.4664993595716,2875.8174652541256,4809.44876801607,3250.142458909323,3416.840281502865,2688.941534741536,3163.1019395317544,3326.0783689017826,A
C009,3225.3320480191323,4373.524386840584,3938.9968761459527,3738.4103831766356,3963.3615766790113,3985.9941644158953,3818.1657324851544,3926.819551339789,4202.731195737927,4054.016660921161,4134.6865220528,4418.261940904984,4404.85484813611,3772.954339229331,4388.877355528916,4649.740929001096,3931.3369507345315,4881.048819053312,4607.479540024636,4966.718496448665,3339.272515167534,4042.1694229195946,4891.034833952482,4299.080926320952,3207.3775176958784,4368.424159756702,3810.670926109302,3625.228614445756,3943.291247315293,3971.0510353256527,3781.24834418114,3824.2356242655446,4112.54642001914,3990.861201425094,4051.3778343385384,4326.0040389791075,4031.9104110069256,3699.612802180485,3853.88987071714,4431.905746190687,3756.5079436571214,4826.283507878141,3943.6256987993784,4703.8177045602015,3157.9770580463874,3715.7830355625306,4196.306932873738,3679.091715384492,A
C010,5553.109289137808,5505.10416645864,5539.8627734431375,6005.675808360951,5358.520366483216,5374.822595449194,5362.230840197413,5684.690248136773,5615.357643223678,5381.1476620184185,5921.874881237808,5557.431452384607,4225.052133658776,4443.510634863599,3583.752136341266,4835.548245025887,4429.151566795381,4085.0887360225224,3284.340095203054,3746.6815201029385,4348.267230132691,3883.666348845992,3868.0279866665874,4235.533956938634,5444.965427225921,5428.120169244449,5451.455195439615,5958.885154968492,5255.989827432658,5355.182753067228,5216.214310656652,5477.871973437427,5458.2848719487265,5190.43642283163,5881.293771220787,5345.559117504218,3988.2086914483775,4141.964775733744,3486.60754404146,4254.519072223919,4334.046810722039,3687.805261069636,3163.467031579186,3351.01043076113,4272.565949752002,3490.7431856201206,3383.566705259986,3849.589504671922,A
