ClientID,Business_Size,Sales_M1,Sales_M2,Sales_M3,Sales_M4,Sales_M5,Sales_M6,Sales_M7,Sales_M8,Sales_M9,Sales_M10,Sales_M11,Sales_M12,Purchases_M1,Purchases_M2,Purchases_M3,Purchases_M4,Purchases_M5,Purchases_M6,Purchases_M7,Purchases_M8,Purchases_M9,Purchases_M10,Purchases_M11,Purchases_M12,Decl_Sales_M1,Decl_Sales_M2,Decl_Sales_M3,Decl_Sales_M4,Decl_Sales_M5,Decl_Sales_M6,Decl_Sales_M7,Decl_Sales_M8,Decl_Sales_M9,Decl_Sales_M10,Decl_Sales_M11,Decl_Sales_M12,Decl_Purchases_M1,Decl_Purchases_M2,Decl_Purchases_M3,Decl_Purchases_M4,Decl_Purchases_M5,Decl_Purchases_M6,Decl_Purchases_M7,Decl_Purchases_M8,Decl_Purchases_M9,Decl_Purchases_M10,Decl_Purchases_M11,Decl_Purchases_M12,CreditGrade
C001,micro,358337,342030,400049,305257,426371,351362,383695,366682,417909,312483,364496,362651,258043,254894,258837,214855,311873,257967,235112,222157,261392,228650,224074,240498,357733,335643,395119,296899,421024,349038,368628,363017,417723,309335,354005,359594,223332,233785,255288,192089,278554,224303,200528,211455,230481,203460,206986,206348,A
C002,micro,51128,69759,52819,57514,64148,55523,56448,57182,64387,72975,61872,56152,32091,50073,38457,38772,46634,33977,38147,34869,42767,44842,38303,38717,49545,67267,51172,56018,62782,53750,55636,56000,63113,71185,61361,55208,28059,47825,38253,35864,45862,30622,35670,31875,39154,43339,35635,38449,A
C003,micro,371513,313706,360485,358203,366226,350174,367374,354592,329916,394757,394660,419088,224244,214521,230310,237226,235311,246512,244696,221099,224903,283059,254932,265405,362417,312908,360139,353509,364803,348014,358234,341716,325342,387775,384581,406097,204281,197432,205064,212025,216169,241355,229510,197336,200545,259903,224547,233612,A
C004,medium,2740299,3142744,2877887,2600077,2823242,3120109,3056670,2704196,3124896,2956568,3078780,3056670,1715358,1920978,1986062,1625558,2004522,2063224,2076048,2002824,2119474,1821923,1920338,2083978,2688168,3097188,2808990,2563656,2755134,3073172,3028231,2615387,3046845,2897737,3040193,2965420,1600792,1812903,1954931,1470200,1895543,1812990,1919658,1757211,2093526,1666647,1871424,1901664,A
C005,micro,527748,432919,445704,497764,409691,420917,448461,430170,399670,434588,429146,463160,349441,278978,309460,341952,282683,269334,288227,274465,259439,270151,268149,344864,526909,418865,428309,481927,404773,417205,430934,422903,383709,426165,422963,462894,310606,270713,303448,337990,240374,247901,287426,249720,252191,251772,258932,318220,A
C006,small,879428,802194,692407,927516,942301,759667,977721,834639,1046317,905981,841140,949954,643249,580439,421102,656492,678764,539714,690633,568506,647381,673730,555563,600887,869482,802008,671790,915322,927187,751078,975271,812999,1015079,884327,832611,939470,585946,579514,386392,594829,649200,465432,628307,548968,624537,601357,488024,553229,A
C007,micro,455191,386018,402016,414035,375657,401030,400935,344677,433607,420226,380902,395461,292789,284278,254077,276501,277866,242116,276678,255929,275143,286709,280484,245176,446513,382164,396694,405221,363709,392861,390870,337472,422609,417501,377377,384609,274019,253408,233224,249665,263587,219248,254230,245154,250917,282684,246004,235655,A
C008,small,1960722,2116455,1643334,1730635,1588906,2321782,2215580,2289816,2070291,2098569,1762234,2244938,1261452,1579041,1068276,1095180,969028,1735371,1371839,1484533,1264205,1329896,1161392,1648731,1909387,2115164,1579489,1685755,1549562,2299879,2210157,2227505,2023293,2037303,1748211,2212453,1085232,1485162,1035518,936162,889875,1680752,1369493,1391890,1081954,1219466,1019964,1556499,A
C009,micro,251215,275559,267494,265226,242360,265011,270532,261545,289876,314244,282391,291456,171373,194370,176004,186763,175403,177518,200486,188459,216683,196542,191507,216210,247693,274025,267182,256585,235022,263669,269518,259016,282303,307500,277991,285584,157953,177913,172582,163997,167186,169624,198236,161306,205214,185872,176043,185500,A
C010,small,370994,354464,293827,335053,351944,315964,342400,338190,335393,330595,346893,367547,262762,228197,216746,236945,239808,196316,224615,237112,223464,219880,240281,248818,365806,348807,291538,328642,350658,307360,329943,328730,323507,328330,333668,362052,244930,222011,190703,231857,216486,189091,200894,232984,200856,192340,218386,214984,A
