ClientID,Sales_M1,Sales_M2,Sales_M3,Sales_M4,Sales_M5,Sales_M6,Sales_M7,Sales_M8,Sales_M9,Sales_M10,Sales_M11,Sales_M12,Purchases_M1,Purchases_M2,Purchases_M3,Purchases_M4,Purchases_M5,Purchases_M6,Purchases_M7,Purchases_M8,Purchases_M9,Purchases_M10,Purchases_M11,Purchases_M12,Decl_Sales_M1,Decl_Sales_M2,Decl_Sales_M3,Decl_Sales_M4,Decl_Sales_M5,Decl_Sales_M6,Decl_Sales_M7,Decl_Sales_M8,Decl_Sales_M9,Decl_Sales_M10,Decl_Sales_M11,Decl_Sales_M12,Decl_Purchases_M1,Decl_Purchases_M2,Decl_Purchases_M3,Decl_Purchases_M4,Decl_Purchases_M5,Decl_Purchases_M6,Decl_Purchases_M7,Decl_Purchases_M8,Decl_Purchases_M9,Decl_Purchases_M10,Decl_Purchases_M11,Decl_Purchases_M12,CreditGrade
C001,4640.157069146300,4725.549255536770,4566.7370679567000,4434.143983846440,4262.78844688745,5108.459478286280,4588.229454711710,4988.095762359490,4626.202690358620,5262.487173993140,4565.6668157545100,4877.843896407530,3396.2029781697600,4601.489137351070,4936.523151438800,3626.8483563184900,4384.645231338630,4752.778304592080,4789.213327007700,3170.088422739560,3078.1095664657600,3339.660839129140,4756.285006858830,3196.6936676661000,4532.71100730199,4717.589451558870,4481.460612047790,4379.49353418796,4146.075964478550,5044.399585989520,4557.878440181570,4792.220879013960,4579.967368662500,5260.142438922670,4519.675147159900,4737.448621150250,3288.8554523285100,3982.514768942290,4527.700192925010,3577.1218189134500,3920.0575279658600,4245.021416777740,4164.241513528640,2703.7844046678700,2929.8226536957700,2944.726632979380,4232.294595019040,2952.9009383361000,A
C002,4883.086111875070,4766.065400645900,4396.045994843160,4485.426232641840,4610.252987732510,4721.634569983940,4506.345295029880,5089.667824327780,5052.142753616840,4525.210105055020,4601.417089105480,4893.567863490340,4027.156242531490,3368.8797312938300,4570.6702956333500,4707.950585278980,3988.4736747638600,4693.122970714940,3159.290954018120,4010.492180243410,3130.573008773760,3856.2446551947800,3193.0618313212300,3254.319943402560,4804.32101662407,4618.510303668480,4239.009680936500,4345.535872952490,4490.354375248160,4621.118049528960,4362.4564687680200,5016.4594115070500,4947.67855423911,4435.653793287730,4488.570583801510,4853.173898643430,3773.4479236010900,2945.5624404365300,4365.5059415732500,4682.916820792780,3689.343151402660,4615.348581860320,2847.2858493133400,3750.097416545180,2861.7566353634400,3530.438601723270,3086.042780629470,3027.6260534296300,A
C003,4838.998437483880,5363.003309176770,5351.715280719090,5108.487816663060,4984.248357500920,5086.821369278810,5631.542980288210,4948.213144843640,5341.1760263401700,4800.497423069520,5012.9988968092600,5118.5072721881400,4117.708175981760,3518.5048938149300,3830.2023940201400,3567.0501635426400,4386.275836625990,3880.907435341480,3313.7354769499300,4089.2980360636900,4560.629529022730,3612.7270647523600,3443.915767864360,3775.9425151113000,4826.684860726930,5357.853844028250,5281.582909205870,5088.632985753980,4953.495718844800,4960.260041183330,5427.0542230356700,4879.613275723930,5246.710013549940,4677.905154680930,4857.6068603162500,4996.997987231060,3789.695814001820,3132.8251646925100,3423.315842276520,3276.8811908446800,4294.515327475540,3640.050308431210,2957.585723461390,3646.413261440000,4187.539528994970,3182.1317317396900,3031.358100425730,3500.6961633379700,A
C004,6067.683280875730,5947.411808624530,6228.825102910280,6254.297902150930,6364.761326977120,5833.533152144620,6042.721748490290,5843.561667309460,5790.181481277320,5898.257814682850,5910.6716200003900,6101.321467505840,4897.954613563130,4572.611971870120,4732.578597163400,3346.330842991900,3149.897174026210,4201.485442755540,3335.9443674368100,4466.760335021140,3816.8877203040300,4055.8176468358400,4875.143167901880,4043.3922448899200,5851.235276858550,5747.156126691210,6115.510977317950,6135.3171595789500,6272.500354837940,5693.877305283590,5958.076537132730,5702.5915863255400,5703.077723087730,5843.381595862160,5716.558995632400,5948.928948787930,4532.469038988410,4357.699492636790,4202.775638957510,3122.833185473010,2972.68278287418,4135.627893315530,3017.121620001950,4223.918481528810,3353.963975460060,3750.289322993850,4277.2888128581600,3993.8908369008500,A
C005,4378.668674564180,4526.553512828390,4438.80826563224,4631.028764947090,4747.862911737570,4571.685997907920,4024.9712229530200,4481.965842347330,4354.4192835587500,4807.866274274050,4309.489573664040,4089.708401458550,3592.159865467300,4257.575817758970,4159.67562037909,4199.858393249980,3531.6382350710100,3569.3717612827300,3507.176411547580,3655.127895377470,3288.328601306840,3331.225722402540,4927.8610581358800,4920.453430571390,4236.522141593080,4349.892370392410,4297.57524900904,4575.427450668590,4705.989530864770,4393.012273895310,3956.9754292565500,4302.9816151342600,4270.025867473490,4738.5936092936,4307.01151421482,3968.505410073810,3485.740451157770,4174.8616062429800,4111.47513824883,3571.2745411258000,3250.6019625034100,3559.4500165792200,3190.9754206790700,3553.0031528012300,3064.6185908587500,3216.725208537250,4547.13284346284,4203.871729987090,A
C006,6076.428812137190,5633.664038911940,6005.676043536340,6486.897256385030,5266.265770632340,5529.475706551750,5489.2286850002100,6372.962820562250,5823.879769939260,6284.773854616800,6320.650047332290,6075.932425175400,4980.448542746830,4639.716393843680,3826.4018696323600,4752.535310413260,4647.518865141040,3108.949015644710,4437.274473128390,4604.341124848950,4472.813287622880,4418.263501562340,4081.873708605060,3249.6483487612200,6066.134684373980,5499.189897701370,5817.566537241790,6413.537154946800,5265.0455638818300,5364.833146717600,5417.05837721269,6270.742004289060,5758.030825974800,6269.024094351070,6156.770702645890,5894.537673646650,4534.055304503990,4463.298636672610,3668.0293351209800,4329.161259941510,4640.115261820640,2852.693557611200,4020.4868955301700,4403.795782334720,3857.214551419060,4019.5414554072000,3941.5884646397300,3134.976862058910,A
C007,4086.049459163790,4455.151977360620,4171.960725217970,4817.225153159930,4120.0208932289900,4092.3763592095800,4573.229199542260,4152.340834526680,4053.5908546248100,4405.247724920460,4118.74533083627,4083.2185508789600,4819.187055439230,3426.770707159830,3904.247923635370,4862.412039378040,3049.798455100700,4201.097834928250,4900.259000827290,3460.6057580419300,4096.979838472060,4818.256749773460,3266.3388915185000,4046.825161347530,4045.2559527546400,4396.168124786370,4083.140158607830,4664.00831464891,4036.0986861694100,3989.6388368160400,4477.630627611070,4047.0192647391100,4027.3102891861200,4364.481123098080,4005.726082029900,4013.4159840820000,4295.858797180580,3145.52343551501,3525.3279929390500,4612.532292846480,2761.7531109468600,3860.237337006580,4693.951326578770,3155.895179613980,4039.472541534490,4225.937572142070,3139.4998674659700,3696.192473242680,A
C008,5297.437007506120,5798.743168317980,5737.614121765230,5681.895670241670,5911.6393577000300,5037.230138589300,6528.152822537980,5441.883443336110,6199.261278549120,5822.091747280740,5985.991619064930,6171.19737472308,3852.183540952380,3578.1500560361800,4947.710482400890,3667.548091021340,3437.6021216396600,3131.6167755744200,4965.741093106870,3255.7114258500600,3644.2615864083600,3141.8856895004000,3449.5398779360900,3787.26982988721,5275.43039572373,5646.923168084810,5734.114048005350,5461.149943616080,5758.3351165295000,4912.50003697617,6466.5688743743700,5428.562564498070,6030.564450462560,5689.924659757380,5811.23556010604,6122.088439042310,3643.1479634312100,3078.2950883631100,4653.552625546990,3555.0870703228400,2938.4664993595700,2875.8174652541300,4809.44876801607,3250.142458909320,3416.840281502870,2688.941534741540,3163.1019395317500,3326.0783689017800,A
C009,3225.3320480191300,4373.524386840580,3938.9968761459500,3738.4103831766400,3963.3615766790100,3985.9941644159000,3818.1657324851500,3926.819551339790,4202.731195737930,4054.016660921160,4134.6865220528,4418.261940904980,4404.85484813611,3772.954339229330,4388.877355528920,4649.740929001100,3931.3369507345300,4881.048819053310,4607.479540024640,4966.718496448670,3339.272515167530,4042.1694229195900,4891.034833952480,4299.080926320950,3207.3775176958800,4368.424159756700,3810.670926109300,3625.228614445760,3943.291247315290,3971.0510353256500,3781.24834418114,3824.2356242655400,4112.54642001914,3990.861201425090,4051.3778343385400,4326.0040389791100,4031.9104110069300,3699.612802180490,3853.88987071714,4431.905746190690,3756.5079436571200,4826.283507878140,3943.6256987993800,4703.8177045602000,3157.9770580463900,3715.7830355625300,4196.306932873740,3679.091715384490,A
C010,5553.109289137810,5505.10416645864,5539.8627734431400,6005.675808360950,5358.520366483220,5374.822595449190,5362.230840197410,5684.690248136770,5615.357643223680,5381.1476620184200,5921.874881237810,5557.431452384610,4225.052133658780,4443.510634863600,3583.752136341270,4835.548245025890,4429.151566795380,4085.0887360225200,3284.340095203050,3746.6815201029400,4348.267230132690,3883.666348845990,3868.0279866665900,4235.533956938630,5444.965427225920,5428.120169244450,5451.455195439620,5958.885154968490,5255.989827432660,5355.182753067230,5216.214310656650,5477.871973437430,5458.2848719487300,5190.43642283163,5881.293771220790,5345.559117504220,3988.2086914483800,4141.964775733740,3486.60754404146,4254.519072223920,4334.046810722040,3687.805261069640,3163.467031579190,3351.01043076113,4272.565949752000,3490.7431856201200,3383.566705259990,3849.589504671920,A
