ClientID,Sales_M1,Sales_M2,Sales_M3,Sales_M4,Sales_M5,Sales_M6,Sales_M7,Sales_M8,Sales_M9,Sales_M10,Sales_M11,Sales_M12,Purchases_M1,Purchases_M2,Purchases_M3,Purchases_M4,Purchases_M5,Purchases_M6,Purchases_M7,Purchases_M8,Purchases_M9,Purchases_M10,Purchases_M11,Purchases_M12,Decl_Sales_M1,Decl_Sales_M2,Decl_Sales_M3,Decl_Sales_M4,Decl_Sales_M5,Decl_Sales_M6,Decl_Sales_M7,Decl_Sales_M8,Decl_Sales_M9,Decl_Sales_M10,Decl_Sales_M11,Decl_Sales_M12,Decl_Purchases_M1,Decl_Purchases_M2,Decl_Purchases_M3,Decl_Purchases_M4,Decl_Purchases_M5,Decl_Purchases_M6,Decl_Purchases_M7,Decl_Purchases_M8,Decl_Purchases_M9,Decl_Purchases_M10,Decl_Purchases_M11,Decl_Purchases_M12,CreditGrade
C0001,358.34,342.03,400.05,305.26,426.37,351.36,383.7,366.68,417.91,312.48,364.5,362.65,258.04,254.89,258.84,214.85,311.87,257.97,235.11,222.16,261.39,228.65,224.07,240.5,364.9,342.48,403.12,303.0,429.55,356.06,376.3,370.35,426.08,315.58,361.29,366.85,247.8,253.57,269.41,210.42,305.25,248.42,223.81,226.13,253.85,223.29,223.89,229.76,A
C0002,51.13,69.76,52.82,57.51,64.15,55.52,56.45,57.18,64.39,72.98,61.87,56.15,32.09,50.07,38.46,38.77,46.63,33.98,38.15,34.87,42.77,44.84,38.3,38.72,50.57,68.66,52.23,57.17,64.07,54.86,56.76,57.14,64.4,72.64,62.6,56.33,31.01,51.08,40.24,38.77,48.45,33.44,38.4,34.62,42.5,46.08,38.44,40.47,A
C0003,371.51,313.71,360.49,358.2,366.23,350.17,367.37,354.59,329.92,394.76,394.66,419.09,224.24,214.52,230.31,237.23,235.31,246.51,244.7,221.1,224.9,283.06,254.93,265.41,369.85,319.18,367.35,360.67,372.13,355.02,365.58,348.81,331.94,395.67,392.47,414.48,222.15,213.85,225.0,232.29,234.32,255.4,246.81,216.31,219.91,281.77,247.42,257.48,A
C0004,2740.3,3142.74,2877.89,2600.08,2823.24,3120.11,3056.67,2704.2,3124.9,2956.57,3078.78,3056.67,1715.36,1920.98,1986.06,1625.56,2004.52,2063.22,2076.05,2002.82,2119.47,1821.92,1920.34,2083.98,2742.97,3160.04,2866.55,2615.66,2811.6,3135.57,3089.36,2669.47,3109.34,2956.87,3101.77,3026.55,1724.75,1944.98,2064.61,1603.26,2032.1,1999.56,2075.59,1939.22,2208.15,1809.5,1983.75,2066.63,A
C0005,527.75,432.92,445.7,497.76,409.69,420.92,448.46,430.17,399.67,434.59,429.15,463.16,349.44,278.98,309.46,341.95,282.68,269.33,288.23,274.46,259.44,270.15,268.15,344.86,537.46,427.52,437.22,491.88,412.97,425.62,439.9,431.51,391.7,434.86,431.55,472.16,341.02,287.42,320.93,356.41,268.61,268.51,302.1,271.69,267.58,271.41,275.41,344.34,A
C0006,879.43,802.19,692.41,927.52,942.3,759.67,977.72,834.64,1046.32,905.98,841.14,949.95,643.25,580.44,421.1,656.49,678.76,539.71,690.63,568.51,647.38,673.73,555.56,600.89,887.07,818.05,685.64,933.87,946.03,766.27,994.83,829.69,1036.01,902.45,849.43,958.47,637.21,608.84,419.02,648.21,692.99,517.18,683.61,583.91,664.52,659.17,538.32,599.16,A
C0007,455.19,386.02,402.02,414.04,375.66,401.03,400.93,344.68,433.61,420.23,380.9,395.46,292.79,284.28,254.08,276.5,277.87,242.12,276.68,255.93,275.14,286.71,280.48,245.18,455.62,389.88,404.73,413.5,371.22,400.88,398.89,344.37,431.28,425.91,384.99,392.52,294.91,277.91,252.88,272.44,282.24,238.98,275.55,261.54,272.75,298.36,271.52,251.09,A
C0008,1960.72,2116.46,1643.33,1730.63,1588.91,2321.78,2215.58,2289.82,2070.29,2098.57,1762.23,2244.94,1261.45,1579.04,1068.28,1095.18,969.03,1735.37,1371.84,1484.53,1264.21,1329.9,1161.39,1648.73,1948.6,2157.49,1612.36,1720.37,1581.34,2346.32,2254.47,2273.3,2064.7,2079.27,1783.46,2257.35,1207.04,1595.41,1099.85,1043.93,964.71,1785.73,1438.87,1497.0,1205.91,1322.77,1125.18,1669.68,A
C0009,251.21,275.56,267.49,265.23,242.36,265.01,270.53,261.54,289.88,314.24,282.39,291.46,171.37,194.37,176.0,186.76,175.4,177.52,200.49,188.46,216.68,196.54,191.51,216.21,252.72,279.54,272.53,261.89,239.87,268.97,274.93,264.25,288.1,313.79,283.64,291.41,171.0,193.12,182.52,180.92,178.7,181.13,209.01,179.78,219.87,199.26,190.77,206.55,A
C0010,370.99,354.46,293.83,335.05,351.94,315.96,342.4,338.19,335.39,330.6,346.89,367.55,262.76,228.2,216.75,236.95,239.81,196.32,224.61,237.11,223.46,219.88,240.28,248.82,373.23,355.9,297.41,335.34,357.7,313.68,336.79,335.49,330.21,334.94,340.61,369.4,264.01,235.48,210.22,245.4,236.25,201.32,220.03,246.22,219.57,212.51,237.7,238.7,A
C0011,66.99,57.42,56.49,46.29,58.72,57.26,56.24,60.25,60.74,53.75,54.6,56.53,47.82,41.5,36.81,29.99,36.22,35.08,39.76,41.57,36.95,36.12,36.05,41.11,67.57,57.65,56.6,47.12,59.87,56.89,55.66,60.96,59.68,53.46,53.66,56.12,45.76,40.63,37.88,31.2,37.28,35.29,40.22,40.99,35.73,35.89,36.89,39.31,A
C0012,390.45,330.91,406.1,336.0,383.18,379.34,358.29,471.02,364.7,397.5,416.6,345.79,261.87,239.06,261.3,238.55,270.29,246.24,232.96,351.71,252.99,295.16,297.92,250.26,388.99,330.26,404.49,342.65,378.24,386.36,357.14,469.59,364.17,395.49,416.03,339.36,250.98,244.62,264.86,227.28,264.89,239.37,222.6,352.53,250.87,281.83,300.08,257.86,A
C0013,701.31,729.26,779.56,733.79,779.84,752.31,787.08,644.96,659.4,632.78,735.51,690.12,424.14,444.68,541.38,536.46,468.93,535.64,568.21,394.3,460.57,428.01,494.25,512.99,687.29,721.88,786.17,728.64,772.89,758.19,800.26,638.37,658.29,626.53,731.96,693.01,435.7,425.46,551.46,539.04,451.95,514.14,553.75,380.57,480.19,435.72,481.28,516.52,A
C0014,403.46,395.62,334.12,402.53,350.14,404.64,380.15,432.45,391.99,398.39,363.68,418.37,298.52,259.58,238.18,287.6,255.8,249.47,245.2,290.28,274.76,254.43,256.46,292.25,398.33,392.81,339.3,395.82,353.59,397.56,383.67,436.64,390.55,406.22,362.99,413.18,294.09,265.16,234.79,274.7,251.09,261.91,240.0,289.17,281.23,265.72,248.14,283.85,A
C0015,596.59,579.87,615.51,518.89,551.16,551.55,589.37,581.23,594.43,621.29,637.45,623.97,430.18,366.24,384.75,314.97,333.96,347.5,441.9,381.24,424.47,416.9,431.21,462.83,587.27,579.06,606.68,519.68,546.73,552.38,593.28,578.07,597.35,624.84,635.41,621.55,425.46,362.8,368.57,301.01,319.87,354.3,421.1,381.22,408.87,397.34,437.22,460.33,A
C0016,271.85,286.94,257.21,271.24,265.13,296.82,267.46,288.13,268.14,296.69,266.26,262.25,191.52,192.15,162.62,180.92,163.88,218.95,183.2,193.28,173.54,179.94,189.81,178.72,274.75,290.27,252.81,272.97,260.39,299.01,266.85,287.77,269.87,298.94,263.74,257.12,196.71,198.22,156.76,182.33,161.27,213.08,177.68,188.87,181.81,174.82,187.08,170.11,A
C0017,303.18,315.22,312.72,332.35,286.18,280.4,292.2,278.65,338.92,315.38,246.75,285.57,195.45,215.68,206.21,238.73,189.67,174.29,181.93,169.5,239.86,203.06,155.41,206.96,304.0,309.96,313.29,327.81,288.21,276.12,291.56,282.98,342.95,309.93,251.3,287.39,199.72,220.94,214.21,229.99,194.93,180.18,187.92,161.52,237.23,201.78,155.73,206.81,A
C0018,274.46,281.02,287.28,291.29,299.85,286.2,269.99,263.12,295.33,286.7,290.21,253.0,193.48,183.46,206.41,210.34,188.79,212.48,181.29,184.18,186.56,206.75,188.04,162.96,272.29,284.7,287.88,287.7,302.42,287.81,270.35,263.88,289.57,288.94,290.61,248.74,184.07,179.39,216.68,204.57,181.33,202.21,178.42,189.86,181.29,215.73,197.23,154.99,A
C0019,374.42,379.87,373.62,384.9,425.08,410.8,400.49,346.63,343.94,400.89,392.53,360.66,233.19,258.28,245.86,270.68,278.82,304.78,286.99,239.59,238.1,279.2,251.33,256.98,371.23,383.06,367.11,387.83,425.96,411.69,398.03,342.09,344.51,393.71,397.65,363.7,222.56,247.34,233.82,284.06,281.6,295.02,283.1,248.31,236.92,292.36,242.17,262.52,A
C0020,466.96,368.87,414.57,474.3,488.09,418.44,472.24,468.73,465.72,436.05,425.21,423.38,340.24,273.87,283.67,297.3,349.25,281.97,328.06,340.26,311.64,294.2,298.46,295.36,462.64,362.49,419.07,473.94,484.76,418.61,467.78,465.18,468.08,437.05,422.12,421.6,332.01,276.13,274.07,300.22,360.63,272.28,335.75,337.16,320.32,303.14,307.0,298.08,A
