ClientID,Business_Size,Sales_M1,Sales_M2,Sales_M3,Sales_M4,Sales_M5,Sales_M6,Sales_M7,Sales_M8,Sales_M9,Sales_M10,Sales_M11,Sales_M12,Purchases_M1,Purchases_M2,Purchases_M3,Purchases_M4,Purchases_M5,Purchases_M6,Purchases_M7,Purchases_M8,Purchases_M9,Purchases_M10,Purchases_M11,Purchases_M12,Decl_Sales_M1,Decl_Sales_M2,Decl_Sales_M3,Decl_Sales_M4,Decl_Sales_M5,Decl_Sales_M6,Decl_Sales_M7,Decl_Sales_M8,Decl_Sales_M9,Decl_Sales_M10,Decl_Sales_M11,Decl_Sales_M12,Decl_Purchases_M1,Decl_Purchases_M2,Decl_Purchases_M3,Decl_Purchases_M4,Decl_Purchases_M5,Decl_Purchases_M6,Decl_Purchases_M7,Decl_Purchases_M8,Decl_Purchases_M9,Decl_Purchases_M10,Decl_Purchases_M11,Decl_Purchases_M12,CreditGrade,Compliance_Sales,Compliance_Purchases,Sales_Stability,Purchases_Stability,Purchase_to_Sales_Ratio,Sales_Growth,Purchases_Growth,Sales_Seasonality,Peak_Sales_Month,Profitability,Sales_Max_to_Mean,Compliance_Adjusted,Q4_to_Annual_Sales
C001,micro,358337,342030,400049,305257,426371,351362,383695,366682,417909,312483,364496,362651,258043,254894,258837,214855,311873,257967,235112,222157,261392,228650,224074,240498,357733,335643,395119,296899,421024,349038,368628,363017,417723,309335,354005,359594,223332,233785,255288,192089,278554,224303,200528,211455,230481,203460,206986,206348,A,0.9855250878892506,0.8983466246590701,0.10167055832007033,0.10594730427555596,0.6759586293148168,1.0120389129815983,0.9320077196137093,0.10167055832007033,5,0.3240412968938974,1.1651279500797254,0.8945733190801349,0.236746474068629
C002,micro,51128,69759,52819,57514,64148,55523,56448,57182,64387,72975,61872,56152,32091,50073,38457,38772,46634,33977,38147,34869,42767,44842,38303,38717,49545,67267,51172,56018,62782,53750,55636,56000,63113,71185,61361,55208,28059,47825,38253,35864,45862,30622,35670,31875,39154,43339,35635,38449,A,0.9765664176067187,0.9433852054542143,0.11186434904366867,0.13403913218401542,0.6634870893045908,1.0982612607326565,1.2064689019070174,0.11186434904366867,10,0.33651244325663837,1.2164071192529036,0.8783143541266327,0.2653106581822374
C003,micro,371513,313706,360485,358203,366226,350174,367374,354592,329916,394757,394660,419088,224244,214521,230310,237226,235311,246512,244696,221099,224903,283059,254932,265405,362417,312908,360139,353509,364803,348014,358234,341716,325342,387775,384581,406097,204281,197432,205064,212025,216169,241355,229510,197336,200545,259903,224547,233612,A,0.9828431294219592,0.9096393818926951,0.07834090824356542,0.08319991851623881,0.6579363909006198,1.128057085331912,1.1835537024236884,0.07834090824356542,12,0.3420635310150558,1.148004402955331,0.9114400853277876,0.27587067254640474
C004,medium,2740299,3142744,2877887,2600077,2823242,3120109,3056670,2704196,3124896,2956568,3078780,3056670,1715358,1920978,1986062,1625558,2004522,2063224,2076048,2002824,2119474,1821923,1920338,2083978,2688168,3097188,2808990,2563656,2755134,3073172,3028231,2615387,3046845,2897737,3040193,2965420,1600792,1812903,1954931,1470200,1895543,1812990,1919658,1757211,2093526,1666647,1871424,1901664,A,0.9801027647474198,0.932186009537929,0.06346518155400603,0.07913313983403471,0.6615326712910652,1.1154512279677407,1.2148937919117806,0.06346518155400603,2,0.33846731911577127,1.0688957681646163,0.921612462492875,0.2576946442417974
C005,micro,527748,432919,445704,497764,409691,420917,448461,430170,399670,434588,429146,463160,349441,278978,309460,341952,282683,269334,288227,274465,259439,270151,268149,344864,526909,418865,428309,481927,404773,417205,430934,422903,383709,426165,422963,462894,310606,270713,303448,337990,240374,247901,287426,249720,252191,251772,258932,318220,A,0.9789544372987102,0.9412378860566282,0.0818159151885584,0.11205701814840578,0.6623940203051046,0.8776160636969469,0.9869019751489517,0.0818159151885584,1,0.33760591647207955,1.1859643314210764,0.9049177623977553,0.24848490750267138
C006,small,879428,802194,692407,927516,942301,759667,977721,834639,1046317,905981,841140,949954,643249,580439,421102,656492,678764,539714,690633,568506,647381,673730,555563,600887,869482,802008,671790,915322,927187,751078,975271,812999,1015079,884327,832611,939470,585946,579514,386392,594829,649200,465432,628307,548968,624537,601357,488024,553229,A,0.9845973180898481,0.9241055556014917,0.11271657872844872,0.12798253639612653,0.6872126042863779,1.0801952175786789,0.9341438010104935,0.11271657872844872,9,0.3127873660915446,1.18907935353455,0.8848590350069122,0.25542260753944523
C007,micro,455191,386018,402016,414035,375657,401030,400935,344677,433607,420226,380902,395461,292789,284278,254077,276501,277866,242116,276678,255929,275143,286709,280484,245176,446513,382164,396694,405221,363709,392861,390870,337472,422609,417501,377377,384609,274019,253408,233224,249665,263587,219248,254230,245154,250917,282684,246004,235655,A,0.9808399804148028,0.9261176828483508,0.07141882558046425,0.06230463189624021,0.6752414624029707,0.8687806464085485,0.8373817411796851,0.07141882558046425,1,0.3247584700762367,1.1356694883627128,0.9154589755163315,0.2487837738096847
C008,small,1960722,2116455,1643334,1730635,1588906,2321782,2215580,2289816,2070291,2098569,1762234,2244938,1261452,1579041,1068276,1095180,969028,1735371,1371839,1484533,1264205,1329896,1161392,1648731,1909387,2115164,1579489,1685755,1549562,2299879,2210157,2227505,2023293,2037303,1748211,2212453,1085232,1485162,1035518,936162,889875,1680752,1369493,1391890,1081954,1219466,1019964,1556499,A,0.9814873705572896,0.9237910158617877,0.1302286437849118,0.18195936209419125,0.6641754350969515,1.1449546927332417,1.307010249291888,0.1302286437849118,6,0.3358245509355365,1.1588021625351834,0.868397183131444,0.25394811236511916
C009,micro,251215,275559,267494,265226,242360,265011,270532,261545,289876,314244,282391,291456,171373,194370,176004,186763,175403,177518,200486,188459,216683,196542,191507,216210,247693,274025,267182,256585,235022,263669,269518,259016,282303,307500,277991,285584,157953,177913,172582,163997,167186,169624,198236,161306,205214,185872,176043,185500,A,0.9844911775090489,0.9258540281183144,0.07092646481583884,0.078747182694128,0.6992315013935388,1.1601848608368894,1.2616324529975376,0.07092646481583884,10,0.30076840682228073,1.1507576194517455,0.9192892414684573,0.2710148496647298
C010,small,370994,354464,293827,335053,351944,315964,342400,338190,335393,330595,346893,367547,262762,228197,216746,236945,239808,196316,224615,237112,223464,219880,240281,248818,365806,348807,291538,328642,350658,307360,329943,328730,323507,328330,333668,362052,244930,222011,190703,231857,216486,189091,200894,232984,200856,192340,218386,214984,A,0.9793736089559725,0.9209274133099623,0.06247287016035943,0.0737254588642166,0.6795896616040501,0.9907087696599685,0.9469331679117684,0.06247287016035943,1,0.3204102599267988,1.0902865942540085,0.9217869335413291,0.2559312843842573
